26/10/2025 10:10:27, P3, 7459, autorizado
26/10/2025 11:11:27, P3, 7460, autorizado
26/10/2025 11:11:41, P2, 7461, autorizado
26/10/2025 11:11:54, P2, 7461, autorizado
26/10/2025 11:11:06, P1, 7462, autorizado
26/10/2025 11:11:15, P1, 7463, autorizado
26/10/2025 11:11:25, P1, 7462, autorizado
26/10/2025 11:11:13, P4, 7464, autorizado
26/10/2025 11:11:30, P4, 7464, autorizado
26/10/2025 11:11:59, P1, 7465, autorizado
26/10/2025 11:11:09, P1, 7465, autorizado
26/10/2025 13:13:20, P1, 7466, autorizado
